city,latina_name,tariff_name,tariff_price,tariff_speed,wifi_router_price,is_first_month_free,is_correct_info,additional_info
Федоровка,Fedorovka,Технологии доступа,500,300,100,False,False,+ Облако Mail.ru 8 Гб
Федоровка,Fedorovka,Апгрейд,500,500,100,False,False,
Федоровка,Fedorovka,Технологии контроля,740,350,100,False,False,+ Видеонаблюдение
Федоровка,Fedorovka,Технологии доступа PRO,890,200,100,False,False,+ Облако Mail.ru 8 Гб
Федоровка,Fedorovka,Игровой,890,890,100,False,False,
Нововолковский,Novovolkovskij,Технологии доступа,500,300,100,False,False,+ Облако Mail.ru 8 Гб
Нововолковский,Novovolkovskij,Апгрейд,500,500,100,False,False,
Нововолковский,Novovolkovskij,Технологии контроля,740,350,100,False,False,+ Видеонаблюдение
Нововолковский,Novovolkovskij,Технологии доступа PRO,890,200,100,False,False,+ Облако Mail.ru 8 Гб
Нововолковский,Novovolkovskij,Игровой,890,890,100,False,False,
Газопровод,Gazoprovod,Технологии доступа,500,300,100,False,False,+ Облако Mail.ru 8 Гб
Газопровод,Gazoprovod,Апгрейд,500,500,100,False,False,
Газопровод,Gazoprovod,Технологии контроля,740,350,100,False,False,+ Видеонаблюдение
Газопровод,Gazoprovod,Технологии доступа PRO,890,200,100,False,False,+ Облако Mail.ru 8 Гб
Газопровод,Gazoprovod,Игровой,890,890,100,False,False,
Лазурная,Lazurnaja,Технологии доступа,500,300,100,False,False,+ Облако Mail.ru 8 Гб
Лазурная,Lazurnaja,Апгрейд,500,500,100,False,False,
Лазурная,Lazurnaja,Технологии контроля,740,350,100,False,False,+ Видеонаблюдение
Лазурная,Lazurnaja,Технологии доступа PRO,890,200,100,False,False,+ Облако Mail.ru 8 Гб
Лазурная,Lazurnaja,Игровой,890,890,100,False,False,
Стрелецкие Хутора,Streletskie-Hutora,Технологии доступа,500,300,100,False,False,+ Облако Mail.ru 8 Гб
Стрелецкие Хутора,Streletskie-Hutora,Апгрейд,500,500,100,False,False,
