territory,id_indicator,period,territory.ccube.0,territory.ccube.1,territory.ccube.2,territory.ccube.attr.0,territory.ccube.3,territory.ccube.4,value,year
643,812,31 Jan 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-3.7,2019
643,812,28 Feb 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-3.4,2019
643,812,31 Mar 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-3.2,2019
643,812,30 Apr 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-3.1,2019
643,812,31 May 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-3.0,2019
643,812,30 Jun 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-2.7,2019
643,812,31 Jul 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-2.5,2019
643,812,31 Aug 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-2.2,2019
643,812,30 Sep 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-2.1,2019
643,812,31 Oct 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-2.2,2019
643,812,30 Nov 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-2.1,2019
643,812,31 Dec 2019 00:00:00,Российская Федерация,,,1,Российская Федерация,Российская Федерация,-2.2,2019
30,812,31 Jan 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-5.2,2019
30,812,28 Feb 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-4.7,2019
30,812,31 Mar 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-4.3,2019
30,812,30 Apr 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-4.2,2019
30,812,31 May 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-4.1,2019
30,812,30 Jun 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-3.8,2019
30,812,31 Jul 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-3.5,2019
30,812,31 Aug 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-3.3,2019
30,812,30 Sep 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-3.2,2019
30,812,31 Oct 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-3.2,2019
30,812,30 Nov 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-3.2,2019
30,812,31 Dec 2019 00:00:00,Российская Федерация,Центральный федеральный округ,,2,Центральный федеральный округ,Центральный федеральный округ,-3.3,2019
14000000,812,31 Jan 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-7.6,2019
14000000,812,28 Feb 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-6.4,2019
14000000,812,31 Mar 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.9,2019
14000000,812,30 Apr 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.7,2019
14000000,812,31 May 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.7,2019
14000000,812,30 Jun 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.7,2019
14000000,812,31 Jul 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.4,2019
14000000,812,31 Aug 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.1,2019
14000000,812,30 Sep 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.0,2019
14000000,812,31 Oct 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-5.0,2019
14000000,812,30 Nov 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-4.9,2019
14000000,812,31 Dec 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Белгородская,3,Белгородская область,Белгородская область,-4.9,2019
15000000,812,31 Jan 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-8.2,2019
15000000,812,28 Feb 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-8.3,2019
15000000,812,31 Mar 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-7.9,2019
15000000,812,30 Apr 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-7.8,2019
15000000,812,31 May 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-7.6,2019
15000000,812,30 Jun 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-7.2,2019
15000000,812,31 Jul 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-6.9,2019
15000000,812,31 Aug 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-6.6,2019
15000000,812,30 Sep 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-6.5,2019
15000000,812,31 Oct 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-6.3,2019
15000000,812,30 Nov 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-6.3,2019
15000000,812,31 Dec 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Брянская,3,Брянская область,Брянская область,-6.3,2019
17000000,812,31 Jan 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-9.2,2019
17000000,812,28 Feb 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-8.1,2019
17000000,812,31 Mar 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.7,2019
17000000,812,30 Apr 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.7,2019
17000000,812,31 May 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.7,2019
17000000,812,30 Jun 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.5,2019
17000000,812,31 Jul 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.3,2019
17000000,812,31 Aug 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.1,2019
17000000,812,30 Sep 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.2,2019
17000000,812,31 Oct 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.2,2019
17000000,812,30 Nov 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.2,2019
17000000,812,31 Dec 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Владимирская,3,Владимирская область,Владимирская область,-7.5,2019
20000000,812,31 Jan 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-7.3,2019
20000000,812,28 Feb 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-7.1,2019
20000000,812,31 Mar 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-6.7,2019
20000000,812,30 Apr 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-6.7,2019
20000000,812,31 May 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-6.6,2019
20000000,812,30 Jun 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-6.4,2019
20000000,812,31 Jul 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-6.1,2019
20000000,812,31 Aug 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-5.9,2019
20000000,812,30 Sep 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-5.7,2019
20000000,812,31 Oct 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-5.6,2019
20000000,812,30 Nov 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-5.7,2019
20000000,812,31 Dec 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Воронежская,3,Воронежская область,Воронежская область,-5.7,2019
24000000,812,31 Jan 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Ивановская,3,Ивановская область,Ивановская область,-9.2,2019
24000000,812,28 Feb 2019 00:00:00,Российская Федерация,Центральный федеральный округ,Ивановская,3,Ивановская область,Ивановская область,-9.2,2019
