value,year,region.ccube.2
231283,2020,
301192,2020,
237076,2020,Белгородская
225643,2020,Брянская
177680,2020,Владимирская
252416,2020,Воронежская
180314,2020,Ивановская
214672,2020,Калужская
179587,2020,Костромская
207134,2020,Курская
236552,2020,Липецкая
347566,2020,Московская
194977,2020,Орловская
196393,2020,Рязанская
186156,2020,Смоленская
198282,2020,Тамбовская
199736,2020,Тверская
205652,2020,Тульская
204406,2020,Ярославская
408674,2020,Москва
244859,2020,
226569,2020,Карелия
201675,2020,Коми
226206,2020,Ненецкий
250033,2020,Архангельская
182920,2020,Вологодская
183286,2020,Калининградская
255646,2020,Ленинградская
242844,2020,Мурманская
204547,2020,Новгородская
200916,2020,Псковская
283494,2020,Санкт-Петербург
214522,2020,
231447,2020,Адыгея
86002,2020,Калмыкия
148071,2020,Крым
261857,2020,Краснодарский
174527,2020,Астраханская
167446,2020,Волгоградская
232860,2020,Ростовская
50713,2020,Ингушетия
154476,2020,Кабардино-Балкарская
83515,2020,Карачаево-Черкесская
163468,2020,Северная Осетия - Алания
123955,2020,Чеченская
185994,2020,Ставропольский
198295,2020,
226691,2020,Башкортостан
134692,2020,Марий Эл
127327,2020,Мордовия
238322,2020,Татарстан
160085,2020,Удмуртская
141564,2020,Чувашская
214162,2020,Пермский
163224,2020,Кировская
237008,2020,Нижегородская
169416,2020,Оренбургская
171267,2020,Пензенская
213032,2020,Самарская
164665,2020,Саратовская
165299,2020,Ульяновская
229110,2020,
147332,2020,Курганская
259875,2020,Свердловская
258117,2020,Ханты-Мансийский Автономный Округ - Югра
263114,2020,Ненецкий
268215,2020,Тюменская
173367,2020,Челябинская
172590,2020,
135351,2020,Алтай
76921,2020,Тыва
175577,2020,Хакасия
153605,2020,Алтайский
196888,2020,Красноярский
164879,2020,Иркутская
153033,2020,Кемеровская Область-Кузбасс
197028,2020,Новосибирская
185769,2020,Омская
162359,2020,Томская
234050,2020,
199747,2020,Бурятия
230378,2020,Приморский
277942,2020,Хабаровский
245233,2020,Амурская
245817,2020,Магаданская
338787,2020,Саха /Якутия/
168066,2020,Еврейская
217089,2020,Чукотский
270606,2021,
354141,2021,
259151,2021,Белгородская
257679,2021,Брянская
207670,2021,Владимирская
296665,2021,Воронежская
211546,2021,Ивановская
235693,2021,Калужская
217379,2021,Костромская
238933,2021,Курская
272834,2021,Липецкая
422211,2021,Московская
223131,2021,Орловская
225488,2021,Рязанская
211221,2021,Смоленская
222950,2021,Тамбовская
233777,2021,Тверская
240438,2021,Тульская
247711,2021,Ярославская
477554,2021,Москва
292488,2021,
252304,2021,Карелия
221863,2021,Коми
235547,2021,Ненецкий
280050,2021,Архангельская
208031,2021,Вологодская
218937,2021,Калининградская
298432,2021,Ленинградская
262676,2021,Мурманская
232454,2021,Новгородская
234834,2021,Псковская
357665,2021,Санкт-Петербург
263475,2021,
299840,2021,Адыгея
97566,2021,Калмыкия
176044,2021,Крым
335663,2021,Краснодарский
196096,2021,Астраханская
194191,2021,Волгоградская
277842,2021,Ростовская
187776,2021,Севастополь
187177,2021,
209177,2021,Дагестан
57605,2021,Ингушетия
217260,2021,Кабардино-Балкарская
95066,2021,Карачаево-Черкесская
193290,2021,Северная Осетия - Алания
141300,2021,Чеченская
215801,2021,Ставропольский
227798,2021,
253472,2021,Башкортостан
161110,2021,Марий Эл
150613,2021,Мордовия
279262,2021,Татарстан
178357,2021,Удмуртская
166150,2021,Чувашская
239837,2021,Пермский
190042,2021,Кировская
278659,2021,Нижегородская
198494,2021,Оренбургская
199270,2021,Пензенская
241042,2021,Самарская
188844,2021,Саратовская
185625,2021,Ульяновская
256579,2021,
163801,2021,Курганская
287048,2021,Свердловская
288977,2021,Ханты-Мансийский Автономный Округ - Югра
293712,2021,Ненецкий
298699,2021,Тюменская
199595,2021,Челябинская
201804,2021,
164472,2021,Алтай
89480,2021,Тыва
194578,2021,Хакасия
174321,2021,Алтайский
222969,2021,Красноярский
200034,2021,Иркутская
176024,2021,Кемеровская Область-Кузбасс
241409,2021,Новосибирская
211880,2021,Омская
196290,2021,Томская
264569,2021,
223010,2021,Бурятия
284035,2021,Саха /Якутия/
188623,2021,Забайкальский
239715,2021,Камчатский
272134,2021,Приморский
301099,2021,Хабаровский
276635,2021,Амурская
289171,2021,Магаданская
364356,2021,Саха /Якутия/
188492,2021,Еврейская
225671,2021,Чукотский
141383,2020,Севастополь
161372,2020,
188325,2020,Дагестан
250679,2020,Саха /Якутия/
164741,2020,Забайкальский
202352,2020,Камчатский
